capture_us,arm_x,arm_z,claw
1787986342391969,0,0,128
1787986342411809,0,0,128
1787986342432310,0,0,128
1787986342451694,0,0,128
1787986342471926,0,0,128
1787986342491526,0,0,128
1787986342511946,0,0,128
1787986342532374,0,0,128
1787986342551696,0,0,128
1787986342571744,0,0,128
1787986342591756,0,0,128
1787986342612050,0,0,128
1787986342632355,0,0,128
1787986342651420,0,0,128
1787986342672163,0,0,128
1787986342691801,0,0,128
1787986342711901,0,0,128
1787986342732070,0,0,128
1787986342752269,0,0,128
1787986342772123,0,0,128
1787986342792370,0,0,128
1787986342812297,0,0,128
1787986342832216,0,0,128
1787986342852008,0,0,128
1787986342872185,0,0,128
1787986342892219,0,0,128
1787986342912263,0,0,128
1787986342931470,0,0,128
1787986342952183,0,0,128
1787986342972401,0,0,128
1787986342991812,0,0,128
1787986343012223,0,0,128
1787986343032061,0,0,128
1787986343052200,0,0,128
1787986343072288,0,0,128
1787986343092368,0,0,128
1787986343112083,0,0,128
1787986343132038,0,0,128
1787986343152061,0,0,128
1787986343171769,0,0,128
1787986343191982,0,0,128
1787986343212010,0,0,128
1787986343232135,0,0,128
1787986343251864,0,0,128
1787986343271891,0,0,128
1787986343291900,0,0,128
1787986343311571,0,0,128
1787986343332254,0,0,128
1787986343351539,0,0,128
1787986343371408,0,0,128
1787986343391924,0,0,128
1787986343411670,0,0,128
1787986343431953,0,0,128
1787986343451530,0,0,128
1787986343471589,0,0,128
1787986343491593,0,0,128
1787986343512143,0,0,128
1787986343532332,0,0,128
1787986343552457,0,0,128
1787986343572061,0,0,128
1787986343591732,0,0,128
1787986343612239,0,0,128
1787986343632468,0,0,128
1787986343651512,0,0,128
1787986343672337,0,0,128
1787986343692297,0,0,128
1787986343712287,0,0,128
1787986343732622,0,0,128
1787986343751669,0,0,128
1787986343771890,0,0,128
1787986343791747,0,0,128
1787986343811636,0,0,128
1787986343832551,0,0,128
1787986343852491,0,0,128
1787986343872485,0,0,128
1787986343891671,0,0,128
1787986343912366,0,0,128
1787986343932180,0,0,128
1787986343951600,0,0,128
1787986343971527,0,0,128
1787986343991901,0,0,128
1787986344011922,0,0,128
1787986344031985,0,0,128
1787986344052419,0,0,128
1787986344071955,0,0,128
1787986344092438,0,0,128
1787986344111979,0,0,128
1787986344132513,0,0,128
1787986344152126,0,0,128
1787986344171816,0,0,128
1787986344191652,0,0,128
1787986344211690,0,0,128
1787986344232567,0,0,128
1787986344252189,0,0,128
1787986344271824,0,0,128
1787986344291789,0,0,128
1787986344312182,0,0,128
1787986344332062,0,0,128
1787986344352014,0,0,128
1787986344372411,0,0,128
1787986344392157,0,0,128
1787986344411661,0,0,128
1787986344431760,0,0,128
1787986344452018,0,0,128
1787986344471897,0,0,128
1787986344492133,0,0,128
1787986344512225,0,0,128
1787986344532125,0,0,128
1787986344551795,0,0,128
1787986344572415,0,0,128
1787986344592358,0,0,128
